epoch,acc
1,0.7117160913952357
2,0.7170636849781235
3,0.7486631016042781
4,0.7914438502673797
5,0.7719980554205154
6,0.8011667476908119
7,0.7622751579970831
8,0.7831793874574623
9,0.7807486631016043
10,0.786096256684492
11,0.7739426349052018
12,0.7739426349052018
13,0.777345649003403
14,0.7554691298006806
15,0.7890131259115216
16,0.7831793874574623
17,0.786096256684492
18,0.7778317938745746
19,0.7807486631016043
20,0.7890131259115216
21,0.7870685464268352
22,0.786096256684492
23,0.7739426349052018
24,0.7846378220709771
25,0.7856101118133204
26,0.7792902284880895
27,0.7831793874574623
28,0.7831793874574623
29,0.7788040836169179
30,0.7836655323286339
