epoch,acc
1,0.7656781720952844
2,0.7992221682061255
3,0.7851239669421488
4,0.8104035002430724
5,0.7987360233349539
6,0.7977637335926105
7,0.7997083130772971
8,0.8089450656295576
9,0.8157510938259601
10,0.8104035002430724
11,0.8128342245989305
12,0.8176956733106465
13,0.8070004861448712
14,0.7865824015556636
15,0.839572192513369
16,0.8366553232863393
17,0.8298492950899368
18,0.8118619348565873
19,0.8322800194457949
20,0.8366553232863393
21,0.8332523091881381
22,0.8361691784151677
23,0.8366553232863393
24,0.8332523091881381
25,0.8225571220223626
26,0.8332523091881381
27,0.8381137578998542
28,0.8410306271268838
29,0.8347107438016529
30,0.8361691784151677
