epoch,acc
1,0.7335926105979582
2,0.7963052989790957
3,0.7812348079727759
4,0.8113757899854157
5,0.8269324258629072
6,0.8070004861448712
7,0.8011667476908119
8,0.8157510938259601
9,0.7929022848808945
10,0.7836655323286339
11,0.8045697617890131
12,0.8157510938259601
13,0.8079727758872144
14,0.8138065143412737
15,0.8099173553719008
16,0.7953330092367525
17,0.8254739912493924
18,0.7963052989790957
19,0.7890131259115216
20,0.7788040836169179
21,0.8055420515313564
22,0.8157510938259601
23,0.8021390374331551
24,0.8070004861448712
25,0.808458920758386
26,0.78852698104035
27,0.7967914438502673
28,0.8050559066601848
29,0.8016528925619835
30,0.7924161400097229
