epoch,acc
1,0.712688381137579
2,0.7647058823529411
3,0.8001944579484687
4,0.8050559066601848
5,0.7729703451628586
6,0.8006806028196403
7,0.7729703451628586
8,0.7880408361691784
9,0.78852698104035
10,0.7997083130772971
11,0.797277588721439
12,0.7817209528439475
13,0.7967914438502673
14,0.7933884297520661
15,0.7948468643655809
16,0.7812348079727759
17,0.7997083130772971
18,0.8055420515313564
19,0.7817209528439475
20,0.8026251823043267
21,0.7992221682061255
22,0.7914438502673797
23,0.7880408361691784
24,0.8031113271754983
25,0.8065143412736996
26,0.8074866310160428
27,0.7958191541079241
28,0.8040836169178415
29,0.8001944579484687
30,0.8094312105007292
