epoch,acc
1,0.679144385026738
2,0.7520661157024794
3,0.7540106951871658
4,0.732620320855615
5,0.7666504618376276
6,0.754982984929509
7,0.7506076810889645
8,0.7958191541079241
9,0.8006806028196403
10,0.8011667476908119
11,0.771025765678172
12,0.7642197374817695
13,0.7817209528439475
14,0.7758872143898882
15,0.7632474477394263
16,0.8031113271754983
17,0.7802625182304327
18,0.7676227515799708
19,0.772484200291687
20,0.7695673310646572
21,0.743801652892562
22,0.7622751579970831
23,0.7647058823529411
24,0.7758872143898882
25,0.7447739426349052
26,0.7428293631502187
27,0.7486631016042781
28,0.7656781720952844
29,0.7403986387943607
30,0.7506076810889645
