epoch,acc
1,0.7083130772970345
2,0.7141468157510938
3,0.7345649003403014
4,0.7399124939231891
5,0.7656781720952844
6,0.7515799708313077
7,0.768595041322314
8,0.717549829849295
9,0.737481769567331
10,0.7408847836655323
11,0.7510938259601361
12,0.7613028682547399
13,0.7583859990277103
14,0.7593582887700535
15,0.7506076810889645
16,0.743801652892562
17,0.7467185221195917
18,0.7695673310646572
19,0.7729703451628586
20,0.7379679144385026
21,0.768595041322314
22,0.7520661157024794
23,0.7739426349052018
24,0.7613028682547399
25,0.7564414195430238
26,0.7593582887700535
27,0.7666504618376276
28,0.7603305785123967
29,0.7588721438988819
30,0.7569275644141954
