epoch,acc
1,0.6441419543023821
2,0.6820612542537676
3,0.754982984929509
4,0.7452600875060769
5,0.7719980554205154
6,0.771025765678172
7,0.7637335926105979
8,0.7360233349538162
9,0.766164316966456
10,0.7486631016042781
11,0.772484200291687
12,0.7481769567331065
13,0.7457462323772485
14,0.7666504618376276
15,0.7666504618376276
16,0.7078269324258629
17,0.7408847836655323
18,0.752552260573651
19,0.7754010695187166
20,0.7768595041322314
21,0.766164316966456
22,0.7758872143898882
23,0.7734564900340302
24,0.7778317938745746
25,0.7695673310646572
26,0.7768595041322314
27,0.7690811861934856
28,0.7729703451628586
29,0.772484200291687
30,0.766164316966456
