epoch,acc
1,0.6908118619348566
2,0.7476908118619349
3,0.7413709285367039
4,0.737481769567331
5,0.7228974234321828
6,0.7588721438988819
7,0.7389402041808459
8,0.772484200291687
9,0.7544968400583374
10,0.7496353913466213
11,0.7515799708313077
12,0.7355371900826446
13,0.7452600875060769
14,0.7656781720952844
15,0.7569275644141954
16,0.7515799708313077
17,0.7739426349052018
18,0.7719980554205154
19,0.7719980554205154
20,0.7583859990277103
21,0.7700534759358288
22,0.768595041322314
23,0.7647058823529411
24,0.7569275644141954
25,0.7627613028682547
26,0.7608167233835683
27,0.7569275644141954
28,0.7520661157024794
29,0.7501215362177929
30,0.757413709285367
