log_Right_side_window_pose-tf_efficientnetv2_l_in21k,log_Rear_view_pose-tf_efficientnetv2_l_in21k,log_Dashboard_pose-tf_efficientnetv2_l_in21k,log_Dashboard_image-tf_efficientnetv2_l_in21k,log_Rear_view_image-tf_efficientnetv2_l_in21k,log_Right_side_window_image-tf_efficientnetv2_l_in21k,log_Dashboard_image-tf_efficientnetv2_m_in21k,log_Right_side_window_image-tf_efficientnetv2_m_in21k,log_Rear_view_image-tf_efficientnetv2_m_in21k,log_Dashboard_pose-tf_efficientnetv2_m_in21k,log_Right_side_window_pose-tf_efficientnetv2_m_in21k,log_Rear_view_pose-tf_efficientnetv2_m_in21k,log_Dashboard_image-tf_efficientnetv2_s_in21k,log_Right_side_window_image-tf_efficientnetv2_s_in21k,log_Rear_view_image-tf_efficientnetv2_s_in21k,log_Rear_view_pose-tf_efficientnetv2_s_in21k,log_Dashboard_pose-tf_efficientnetv2_s_in21k,log_Right_side_window_pose-tf_efficientnetv2_s_in21k
0.7719980554205154,0.7335926105979582,0.7754010695187166,0.752552260573651,0.712688381137579,0.679144385026738,0.7656781720952844,0.6908118619348566,0.7117160913952357,0.7433155080213903,0.7452600875060769,0.7428293631502187,0.7394263490520175,0.6665046183762762,0.6441419543023821,0.7083130772970345,0.7277588721438989,0.6937287311618863
0.7413709285367039,0.7963052989790957,0.8206125425376762,0.7875546912980068,0.7647058823529411,0.7520661157024794,0.7992221682061255,0.7476908118619349,0.7170636849781235,0.8128342245989305,0.7428293631502187,0.7768595041322314,0.7642197374817695,0.7005347593582888,0.6820612542537676,0.7141468157510938,0.7822070977151191,0.7501215362177929
0.7919299951385513,0.7812348079727759,0.8176956733106465,0.825960136120564,0.8001944579484687,0.7540106951871658,0.7851239669421488,0.7413709285367039,0.7486631016042781,0.8031113271754983,0.752552260573651,0.7681088964511424,0.7870685464268352,0.7228974234321828,0.754982984929509,0.7345649003403014,0.7856101118133204,0.7000486144871172
0.7933884297520661,0.8113757899854157,0.8317938745746233,0.8434613514827418,0.8050559066601848,0.732620320855615,0.8104035002430724,0.737481769567331,0.7914438502673797,0.7603305785123967,0.7647058823529411,0.7841516771998055,0.766164316966456,0.7384540593096743,0.7452600875060769,0.7399124939231891,0.7997083130772971,0.7418570734078755
0.806028196402528,0.8269324258629072,0.8405444822557122,0.8624210014584346,0.7729703451628586,0.7666504618376276,0.7987360233349539,0.7228974234321828,0.7719980554205154,0.8089450656295576,0.7481769567331065,0.7851239669421488,0.7826932425862907,0.7671366067087992,0.7719980554205154,0.7656781720952844,0.8011667476908119,0.7496353913466213
0.8313077297034517,0.8070004861448712,0.8517258142926593,0.8347107438016529,0.8006806028196403,0.754982984929509,0.7977637335926105,0.7588721438988819,0.8011667476908119,0.8235294117647058,0.7331064657267866,0.7797763733592611,0.7637335926105979,0.7554691298006806,0.771025765678172,0.7515799708313077,0.8104035002430724,0.7292173067574137
0.8230432668935342,0.8011667476908119,0.8065143412736996,0.8361691784151677,0.7729703451628586,0.7506076810889645,0.7997083130772971,0.7389402041808459,0.7622751579970831,0.8206125425376762,0.732620320855615,0.7578998541565386,0.7997083130772971,0.7418570734078755,0.7637335926105979,0.768595041322314,0.78852698104035,0.7408847836655323
0.7953330092367525,0.8157510938259601,0.8517258142926593,0.8390860476421974,0.7880408361691784,0.7958191541079241,0.8089450656295576,0.772484200291687,0.7831793874574623,0.819640252795333,0.732620320855615,0.78852698104035,0.8118619348565873,0.737481769567331,0.7360233349538162,0.717549829849295,0.8176956733106465,0.7394263490520175
0.8147788040836169,0.7929022848808945,0.8376276130286825,0.8512396694214877,0.78852698104035,0.8006806028196403,0.8157510938259601,0.7544968400583374,0.7807486631016043,0.8303354399611084,0.7472046669907633,0.7472046669907633,0.7880408361691784,0.774914924647545,0.766164316966456,0.737481769567331,0.8035974720466699,0.7447739426349052
0.8094312105007292,0.7836655323286339,0.8424890617403986,0.8439474963539134,0.7997083130772971,0.8011667476908119,0.8104035002430724,0.7496353913466213,0.786096256684492,0.83082158483228,0.766164316966456,0.7841516771998055,0.7754010695187166,0.7112299465240641,0.7486631016042781,0.7408847836655323,0.8225571220223626,0.7277588721438989
