epoch,acc
1,0.7394263490520175
2,0.7642197374817695
3,0.7870685464268352
4,0.766164316966456
5,0.7826932425862907
6,0.7637335926105979
7,0.7997083130772971
8,0.8118619348565873
9,0.7880408361691784
10,0.7754010695187166
11,0.7841516771998055
12,0.8079727758872144
13,0.8167233835683033
14,0.7846378220709771
15,0.8225571220223626
16,0.806028196402528
17,0.8191541079241614
18,0.8026251823043267
19,0.8035974720466699
20,0.8026251823043267
21,0.8035974720466699
22,0.7982498784637823
23,0.8070004861448712
24,0.8006806028196403
25,0.810889645114244
26,0.8035974720466699
27,0.797277588721439
28,0.808458920758386
29,0.8104035002430724
30,0.8113757899854157
