epoch,acc
1,0.6937287311618863
2,0.7501215362177929
3,0.7000486144871172
4,0.7418570734078755
5,0.7496353913466213
6,0.7292173067574137
7,0.7408847836655323
8,0.7394263490520175
9,0.7447739426349052
10,0.7277588721438989
11,0.7729703451628586
12,0.7627613028682547
13,0.7695673310646572
14,0.7593582887700535
15,0.7491492464754497
16,0.7719980554205154
17,0.7554691298006806
18,0.7544968400583374
19,0.7491492464754497
20,0.7384540593096743
21,0.7622751579970831
22,0.7588721438988819
23,0.7729703451628586
24,0.7690811861934856
25,0.774914924647545
26,0.7656781720952844
27,0.7690811861934856
28,0.7729703451628586
29,0.7671366067087992
30,0.7715119105493436
