epoch,acc
1,0.7452600875060769
2,0.7428293631502187
3,0.752552260573651
4,0.7647058823529411
5,0.7481769567331065
6,0.7331064657267866
7,0.732620320855615
8,0.732620320855615
9,0.7472046669907633
10,0.766164316966456
11,0.768595041322314
12,0.768595041322314
13,0.7822070977151191
14,0.786096256684492
15,0.7797763733592611
16,0.7647058823529411
17,0.7758872143898882
18,0.7719980554205154
19,0.7899854156538648
20,0.7797763733592611
21,0.7938745746232377
22,0.7929022848808945
23,0.7758872143898882
24,0.790957705396208
25,0.7894992707826932
26,0.774914924647545
27,0.7807486631016043
28,0.7899854156538648
29,0.7943607194944093
30,0.7846378220709771
