epoch,acc
1,0.7433155080213903
2,0.8128342245989305
3,0.8031113271754983
4,0.7603305785123967
5,0.8089450656295576
6,0.8235294117647058
7,0.8206125425376762
8,0.819640252795333
9,0.8303354399611084
10,0.83082158483228
11,0.8065143412736996
12,0.8210986874088478
13,0.8381137578998542
14,0.8332523091881381
15,0.8517258142926593
16,0.8249878463782208
17,0.8361691784151677
18,0.8313077297034517
19,0.8332523091881381
20,0.8332523091881381
21,0.8376276130286825
22,0.83082158483228
23,0.8415167719980554
24,0.824501701507049
25,0.8327661643169665
26,0.8269324258629072
27,0.822070977151191
28,0.842002916869227
29,0.8405444822557122
30,0.8400583373845406
