epoch,acc
1,0.752552260573651
2,0.7875546912980068
3,0.825960136120564
4,0.8434613514827418
5,0.8624210014584346
6,0.8347107438016529
7,0.8361691784151677
8,0.8390860476421974
9,0.8512396694214877
10,0.8439474963539134
11,0.842002916869227
12,0.8410306271268838
13,0.8517258142926593
14,0.8317938745746233
15,0.8317938745746233
16,0.8390860476421974
17,0.8512396694214877
18,0.8366553232863393
19,0.8434613514827418
20,0.8099173553719008
21,0.8254739912493924
22,0.8551288283908605
23,0.8313077297034517
24,0.8415167719980554
25,0.8356830335439961
26,0.8366553232863393
27,0.8381137578998542
28,0.839572192513369
29,0.839572192513369
30,0.8376276130286825
