epoch,acc
1,0.7277588721438989
2,0.7822070977151191
3,0.7856101118133204
4,0.7997083130772971
5,0.8011667476908119
6,0.8104035002430724
7,0.78852698104035
8,0.8176956733106465
9,0.8035974720466699
10,0.8225571220223626
11,0.8035974720466699
12,0.78852698104035
13,0.7880408361691784
14,0.8006806028196403
15,0.828390860476422
16,0.7977637335926105
17,0.7894992707826932
18,0.8201263976665046
19,0.8249878463782208
20,0.8026251823043267
21,0.8215848322800194
22,0.8240155566358774
23,0.8279047156052504
24,0.8181818181818182
25,0.8240155566358774
26,0.825960136120564
27,0.8235294117647058
28,0.825960136120564
29,0.8230432668935342
30,0.8274185707340788
