epoch,acc
1,0.7428293631502187
2,0.7768595041322314
3,0.7681088964511424
4,0.7841516771998055
5,0.7851239669421488
6,0.7797763733592611
7,0.7578998541565386
8,0.78852698104035
9,0.7472046669907633
10,0.7841516771998055
11,0.7676227515799708
12,0.8001944579484687
13,0.7802625182304327
14,0.774914924647545
15,0.8079727758872144
16,0.7856101118133204
17,0.7671366067087992
18,0.7792902284880895
19,0.7559552746718522
20,0.7938745746232377
21,0.7778317938745746
22,0.7666504618376276
23,0.7802625182304327
24,0.7841516771998055
25,0.7797763733592611
26,0.7778317938745746
27,0.7836655323286339
28,0.7797763733592611
29,0.7807486631016043
30,0.777345649003403
