epoch,acc
1,0.7754010695187166
2,0.8206125425376762
3,0.8176956733106465
4,0.8317938745746233
5,0.8405444822557122
6,0.8517258142926593
7,0.8065143412736996
8,0.8517258142926593
9,0.8376276130286825
10,0.8424890617403986
11,0.8454059309674283
12,0.8342245989304813
13,0.8439474963539134
14,0.8240155566358774
15,0.8434613514827418
16,0.8483228001944579
17,0.8385999027710258
18,0.8478366553232863
19,0.8473505104521147
20,0.8497812348079727
21,0.8672824501701507
22,0.8551288283908605
23,0.859504132231405
24,0.8405444822557122
25,0.8492950899368011
26,0.8536703937773457
27,0.8502673796791443
28,0.8478366553232863
29,0.8473505104521147
30,0.8463782207097715
